x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33,x34,y34,z34,v34,x35,y35,z35,v35,x36,y36,z36,v36,x37,y37,z37,v37,x38,y38,z38,v38,x39,y39,z39,v39,x40,y40,z40,v40,x41,y41,z41,v41,x42,y42,z42,v42,x43,y43,z43,v43,x44,y44,z44,v44,x45,y45,z45,v45,x46,y46,z46,v46,x47,y47,z47,v47,x48,y48,z48,v48,x49,y49,z49,v49,x50,y50,z50,v50,x51,y51,z51,v51,x52,y52,z52,v52,x53,y53,z53,v53,x54,y54,z54,v54,x55,y55,z55,v55,x56,y56,z56,v56,x57,y57,z57,v57,x58,y58,z58,v58,x59,y59,z59,v59,x60,y60,z60,v60,x61,y61,z61,v61,x62,y62,z62,v62,x63,y63,z63,v63,x64,y64,z64,v64,x65,y65,z65,v65,x66,y66,z66,v66,x67,y67,z67,v67,x68,y68,z68,v68,x69,y69,z69,v69,x70,y70,z70,v70,x71,y71,z71,v71,x72,y72,z72,v72,x73,y73,z73,v73,x74,y74,z74,v74,x75,y75,z75,v75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6229591369628906,-0.08364605903625488,-0.7732746005058289,0.7491387128829956,0.6508907079696655,-0.1727961152791977,-0.8071931600570679,0.7699252367019653,0.6746873259544373,-0.17375530302524567,-0.8073340654373169,0.7558565139770508,0.693509042263031,-0.17250919342041016,-0.8086644411087036,0.7839106917381287,0.5957521200180054,-0.1603022962808609,-0.7365835905075073,0.8033929467201233,0.5819036960601807,-0.15194906294345856,-0.7362887859344482,0.7756901979446411,0.5695234537124634,-0.14325584471225739,-0.7372797727584839,0.8339472413063049,0.7245920896530151,-0.14551544189453125,-0.6813439726829529,0.7866932153701782,0.5811817646026611,-0.16021360456943512,-0.3318743109703064,0.867565929889679,0.6626126170158386,0.007140159606933594,-0.706436812877655,0.9166507124900818,0.6099122166633606,0.016982197761535645,-0.6033360958099365,0.9420745968818665,0.9074224233627319,0.1612599939107895,-0.5292630791664124,0.953055739402771,0.500752329826355,0.29437458515167236,-0.10306823253631592,0.9964895844459534,1.1197766065597534,0.6383074522018433,-0.4440992474555969,0.32949262857437134,0.4424176812171936,0.8343436121940613,-0.09438484907150269,0.39587342739105225,1.1473418474197388,0.858565092086792,-0.5442708134651184,0.07191191613674164,0.48744112253189087,1.1343333721160889,-0.6828566193580627,0.17858044803142548,1.194380521774292,0.9215220212936401,-0.6392471790313721,0.07625342160463333,0.477689266204834,1.2520297765731812,-0.7831745743751526,0.18365442752838135,1.163160800933838,0.8982271552085876,-0.6889349222183228,0.08545955270528793,0.4987289309501648,1.2001395225524902,-0.8809452056884766,0.21871419250965118,1.1289207935333252,0.8747938275337219,-0.5716215372085571,0.09975740313529968,0.5163364410400391,1.1504247188568115,-0.7436665296554565,0.23834316432476044,0.9824647903442383,1.1303292512893677,-0.1366245001554489,0.02755149081349373,0.6420680284500122,1.167937994003296,0.13958194851875305,0.04876622185111046,1.0433285236358643,1.964448094367981,-0.08518347889184952,0.0052192737348377705,0.7173800468444824,1.9991787672042847,0.3410416841506958,0.0032514077611267567,1.11387300491333,2.7348439693450928,0.6091813445091248,0.0006415738025680184,0.8120492100715637,2.7676150798797607,0.9712530374526978,0.00017475133063271642,1.1253050565719604,2.841161012649536,0.6503992080688477,0.00046226329868659377,0.8186038732528687,2.8691036701202393,1.0236071348190308,0.0005498952232301235,1.1105986833572388,2.9435489177703857,0.03666301444172859,0.0006134251016192138,0.8773654699325562,2.9890999794006348,0.32620516419410706,0.0002107359323417768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5539820194244385,-0.06675371527671814,-0.5967895984649658,0.772807776927948,0.5814312696456909,-0.1639949381351471,-0.6716747879981995,0.7913894057273865,0.6033303737640381,-0.1644430160522461,-0.6718950867652893,0.778714120388031,0.6243600249290466,-0.16378888487815857,-0.6728735566139221,0.804373025894165,0.5330989360809326,-0.15517565608024597,-0.5383555293083191,0.8216210603713989,0.5214767456054688,-0.14801491796970367,-0.5375918745994568,0.7964057326316833,0.5105388760566711,-0.14016610383987427,-0.5381720662117004,0.849246084690094,0.6792485117912292,-0.14088289439678192,-0.6849911212921143,0.8071672320365906,0.5460274815559387,-0.1314557045698166,-0.08767957985401154,0.8796376585960388,0.6020745635032654,0.00707909744232893,-0.5947412848472595,0.9243891835212708,0.5575884580612183,0.0179048553109169,-0.4119628965854645,0.9471294283866882,0.9031749963760376,0.18819983303546906,-0.7889934778213501,0.9572657346725464,0.5188440084457397,0.30332934856414795,0.2664015591144562,0.9966550469398499,1.022822618484497,0.7396444082260132,-0.8521744012832642,0.37206414341926575,0.46610546112060547,0.7693597674369812,0.6537973284721375,0.3775903582572937,0.9177578091621399,1.1609135866165161,-0.7090768814086914,0.08052446693181992,0.48748892545700073,1.163708209991455,0.35716143250465393,0.16871099174022675,0.9281758069992065,1.2904942035675049,-0.796362578868866,0.08482564985752106,0.47066980600357056,1.287164568901062,0.31960105895996094,0.17612749338150024,0.8825823664665222,1.2881921529769897,-0.8080981969833374,0.09764795750379562,0.4889015555381775,1.2644814252853394,0.19492214918136597,0.21282708644866943,0.8746069073677063,1.2407593727111816,-0.7108255624771118,0.1106480062007904,0.5097655057907104,1.2151437997817993,0.2850278317928314,0.23111414909362793,0.9204956889152527,1.226972222328186,-0.2532843351364136,0.025923199951648712,0.6175596117973328,1.2366645336151123,0.25739482045173645,0.04556438326835632,0.9492751359939575,2.060591459274292,-0.14600490033626556,0.004942681174725294,0.659893274307251,2.0451600551605225,0.3570687770843506,0.0032527465373277664,0.9842047691345215,2.8037796020507812,0.5996731519699097,0.0005970881902612746,0.7211638689041138,2.791689872741699,0.8602371215820312,0.00016674274229444563,1.0087473392486572,2.909482002258301,0.642267107963562,0.00042764144018292427,0.7336124181747437,2.888298511505127,0.8890128135681152,0.0005239738384261727,0.9148215055465698,2.9994680881500244,0.029409978538751602,0.000574772187974304,0.7101314663887024,3.022029161453247,0.24010507762432098,0.0002016025100601837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
